service_id,date,exception_type
SAT,20150326,2
SAT,20150403,2
SAT,20150525,2
SAT,20150611,2
SAT,20150704,2
SAT,20150821,2
SAT,20150907,2
SAT,20151111,2
SAT,20151126,2
SAT,20151225,2
FULLW,20150326,2
FULLW,20150403,2
FULLW,20150525,2
FULLW,20150611,2
FULLW,20150704,2
FULLW,20150821,2
FULLW,20150907,2
FULLW,20151111,2
FULLW,20151126,2
FULLW,20151225,2
WE,20150326,2
WE,20150403,2
WE,20150525,2
WE,20150611,2
WE,20150704,2
WE,20150821,2
WE,20150907,2
WE,20151111,2
WE,20151126,2
WE,20151225,2
NOSUN,20150326,2
NOSUN,20150403,2
NOSUN,20150525,2
NOSUN,20150611,2
NOSUN,20150704,2
NOSUN,20150821,2
NOSUN,20150907,2
NOSUN,20151111,2
NOSUN,20151126,2
NOSUN,20151225,2
WD,20150326,2
WD,20150403,2
WD,20150525,2
WD,20150611,2
WD,20150704,2
WD,20150821,2
WD,20150907,2
WD,20151111,2
WD,20151126,2
WD,20151225,2
SCHOOL,20150326,2
SCHOOL,20150403,2
SCHOOL,20150525,2
SCHOOL,20150611,2
SCHOOL,20150704,2
SCHOOL,20150821,2
SCHOOL,20150907,2
SCHOOL,20151111,2
SCHOOL,20151126,2
SCHOOL,20151225,2
SCHOOL,20150316,2
SCHOOL,20150317,2
SCHOOL,20150318,2
SCHOOL,20150319,2
SCHOOL,20150320,2
SCHOOL,20150321,2
SCHOOL,20150322,2
SCHOOL,20150323,2
SCHOOL,20150324,2
SCHOOL,20150325,2
SCHOOL,20150328,2
