route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,agency_id,route_url,route_desc
hilo-waikea,,Intra-Hilo Waikea-Uka,3,734c00,ffffff,HOB,http://www.heleonbus.org/schedules-and-maps/hilo-downtown-waiakea-uka,This route operates between Mo'oheau Bus Terminal and central Hilo areas terminating at the Waiakea-Uka Gym.
hilo-keaukaha,,Intra-Hilo Keaukaha,3,e60000,ffffff,HOB,http://www.heleonbus.org/schedules-and-maps/hilo-downtown-keaukaha,This route operates between Mo'oheau Bus Terminal and central Hilo areas terminating at the end of Kalanianaole Street.
hilo-kaumana,,Intra-Hilo Kaumana,3,bee8ff,000000,HOB,http://www.heleonbus.org/schedules-and-maps/hilo-downtown-ainako-kaumana,This route operates between Mo'oheau Bus Terminal and northern and central Hilo areas. The route will travel to Kaumana Drive before returning back to Mo'oheau Bus Terminal.
hilo-volcano,,Hilo-Volcano-Ka'u,3,e600a9,000000,HOB,http://www.heleonbus.org/schedules-and-maps/kau-volcano-hilo,This route operates between Mo'oheau Bus Terminal and either Ocean View or Volcano. Only one round trip operates south of Volcano. Please be advised for passengers deboarding at Hawai'i Volcanos National Park: a $5.00 fee to enter the park will be collected by the bus operator. The ticket is valid for seven days. Some days may be free to enter the park.
hilo-pahala,,Hilo-Pahoa-Pohoiki,3,d1ff73,000000,HOB,http://www.heleonbus.org/schedules-and-maps/pahoa-pohoiki-hilo-bus-schedule-monday-saturday,This route operates between Mo'oheau Bus Terminal and either Pahoa/Nanawale or Pohoiki/Leilani Estates. Three round trips on weekdays and two round trips on Saturday continue beyond Nanawale to Leilani Estates.
hilo-honokaa,,Hilo-Honoka'a,3,df73ff,000000,HOB,http://www.heleonbus.org/schedules-and-maps/honokaa-hilo,This is a combined schedule of trips operating on various Hele-On routes. This combined schedule helps understand the available service between central Hilo and Honoka'a.
hilo-waimea,,Hilo-Waimea and Waikoloa Village,3,343434,ffffff,HOB,http://www.heleonbus.org/schedules-and-maps/waimea-hilo,This is a combined schedule of trips operating on various Hele-On routes. This combined schedule helps understand the available service between central Hilo and Waimea.
hilo-kona,,Hilo-Kailua-Kona,3,ff6a14,000000,HOB,http://www.heleonbus.org/schedules-and-maps/kona-hilo-bus-schedule,
hilo-resort,,Hilo-South Kohala Resorts (via Waimea),3,00ffc5,000000,HOB,http://www.heleonbus.org/schedules-and-maps/hilo-waikoloa-resorts,This route operates between Francis Wong Stadium Mo'oheau Bus Terminal and South Kohala Resorts serving communities along the Hāmākua Coast.
waimea,,Intra-Waimea Shuttle,3,ff73df,000000,HOB,http://www.heleonbus.org/schedules-and-maps/waimea-shuttle,This route operates within the Waimea area.
waikoloa,,Waikoloa Village/South Kohala Resorts/Waimea Shuttle,3,894465,ffffff,RBH,http://www.heleonbus.org/schedules-and-maps/waikoloavillage-shuttle,This route operates within the Waikoloa Village area starting and ending at Waikoloa Village Post Office.One trip in the a.m. continues to Waimea behind Parker Ranch Shopping Center making all stops along Waikoloa Road and Route 190. One trip in the p.m. continues to South Kohala Resorts.
waikoloa-waimea,,Waimea-Waikoloa Village,3,da6548,000000,HOB,http://www.heleonbus.org/schedules-and-maps/waikoloa-waimea-monday-friday-school-days,This supplementary service operates as part of the Hilo-South Kohala Resorts route and provides service between Waikoloa Village and Waimea. Connections can also be made to other Hele-On routes in Waimea for travel to Kailua-Kona, Hilo and other communities along the Hāmākua Coast.
pahala-kona,,Pahala-Kailua-Kona-South Kohala Resorts,3,ffaa00,000000,HOB,http://www.heleonbus.org/schedules-and-maps/pahala-south-kohala-resorts,This route operates between Pahala Shopping Center and Mauna Kea Beach Hotel or Kona International Airport at Keahole.
kona,,Intra-Kona,3,8400a8,ffffff,HOB,http://www.heleonbus.org/schedules-and-maps/intra-kona-7-1-2014,This route operates between Captain Cook and North Kona via Routes 11 19 and 190 traveling through Ali'i Drive.
kohala-resort,,North Kohala-South Kohala,3,ffff00,000000,HOB,http://www.heleonbus.org/schedules-and-maps/north-kohala-to-south-kohala-resorts,This route operates one round trip between Kapaau and Hilton Waikoloa Village.
kohala-kona,,North Kohala-Waimea-Kailua-Kona,3,d79e9e,000000,HOB,http://www.heleonbus.org/schedules-and-maps/north-kohala-to-waimea-and-kailua-kona,This route operates one round trip between Kapaau and Keauhou Shopping Center in Kailua-Kona.
