trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
HAK070,7:15:00,7:15:00,pk,1,0
HAK070,7:25:00,7:25:00,ac,2,0
HAK070,7:35:00,7:35:00,mb,4,0
HAK070,7:45:00,7:45:00,hm,6,0
HAK070,7:50:00,7:50:00,an,7,0
HAK085,8:30:00,8:30:00,bd,3,0
HAK085,8:35:00,8:35:00,mb,4,0
HAK085,8:40:00,8:40:00,hr,5,0
HAK085,8:45:00,8:45:00,hm,6,0
HAK085,8:50:00,8:50:00,an,7,0
HAK085,9:00:00,9:00:00,kn,10,0
HAK100,10:10:00,10:10:00,pk,1,0
HAK100,10:20:00,10:20:00,bd,3,0
HAK100,10:25:00,10:25:00,mb,4,0
HAK100,10:30:00,10:30:00,hr,5,0
HAK100,10:35:00,10:35:00,hm,6,0
HAK100,10:40:00,10:40:00,an,7,0
HAK115,11:30:00,11:30:00,pk,1,0
HAK115,11:40:00,11:40:00,bd,3,0
HAK115,11:50:00,11:50:00,mb,4,0
HAK115,11:55:00,11:55:00,hr,5,0
HAK115,12:00:00,12:00:00,hm,6,0
HAK115,12:05:00,12:05:00,an,7,0
HAK115,12:15:00,12:15:00,kn,10,0
HAK145,14:15:00,14:15:00,ac,2,0
HAK145,14:20:00,14:20:00,mb,4,0
HAK145,14:25:00,14:25:00,hr,5,0
HAK145,14:30:00,14:30:00,hm,6,0
HAK145,14:35:00,14:35:00,an,7,0
HAK145,14:40:00,14:40:00,ch,8,0
HAK145,14:50:00,14:50:00,kn,10,0
HAK165,16:20:00,16:20:00,pk,1,0
HAK165,16:38:00,16:38:00,ac,2,0
HAK165,16:45:00,16:45:00,mb,4,0
HAK165,16:50:00,16:50:00,hr,5,0
HAK165,16:55:00,16:55:00,hm,6,0
HAK165,17:00:00,17:00:00,an,7,0
HAK165,17:10:00,17:10:00,gs,9,0
HAK165,17:20:00,17:20:00,kn,10,0
HAK080,7:50:00,7:50:00,an,5,0
HAK080,8:00:00,8:00:00,mb,7,0
HAK080,8:05:00,8:05:00,ac,8,0
HAK080,8:30:00,8:30:00,bd,10,0
HAK090,9:00:00,9:00:00,kn,1,0
HAK090,9:05:00,9:05:00,gs,2,0
HAK090,9:10:00,9:10:00,ch,3,0
HAK090,9:15:00,9:15:00,kt,4,0
HAK090,9:20:00,9:20:00,an,5,0
HAK090,9:25:00,9:25:00,kw,6,0
HAK090,9:30:00,9:30:00,mb,7,0
HAK090,9:35:00,9:35:00,ac,8,0
HAK090,9:50:00,9:50:00,pk,9,0
HAK105,10:40:00,10:40:00,an,5,0
HAK105,10:45:00,10:45:00,kw,6,0
HAK105,10:50:00,10:50:00,mb,7,0
HAK105,10:55:00,10:55:00,ac,8,0
HAK105,11:10:00,11:10:00,pk,9,0
HAK105,11:40:00,11:40:00,bd,10,0
HAK120,12:15:00,12:15:00,kn,1,0
HAK120,12:20:00,12:20:00,gs,2,0
HAK120,12:25:00,12:25:00,ch,3,0
HAK120,12:30:00,12:30:00,kt,4,0
HAK120,12:35:00,12:35:00,an,5,0
HAK120,12:40:00,12:40:00,kw,6,0
HAK120,12:45:00,12:45:00,mb,7,0
HAK130,14:50:00,14:50:00,kn,1,0
HAK130,14:55:00,14:55:00,gs,2,0
HAK130,15:00:00,15:00:00,ch,3,0
HAK130,15:05:00,15:05:00,kt,4,0
HAK130,15:10:00,15:10:00,an,5,0
HAK130,15:15:00,15:15:00,kw,6,0
HAK130,15:20:00,15:20:00,mb,7,0
HAK130,15:25:00,15:25:00,ac,8,0
HAK130,15:40:00,15:40:00,pk,9,0
HKE070,7:00:00,7:00:00,kl,1,0
HKE070,7:03:00,7:03:00,ki,2,0
HKE070,7:08:00,7:08:00,ko,3,0
HKE070,7:10:00,7:10:00,ok,4,0
HKE070,7:15:00,7:15:00,bd,5,0
HKE070,7:20:00,7:20:00,mb,6,0
HKE080,8:00:00,8:00:00,kl,1,0
HKE080,8:03:00,8:03:00,ki,2,0
HKE080,8:08:00,8:08:00,ko,3,0
HKE080,8:10:00,8:10:00,ok,4,0
HKE080,8:15:00,8:15:00,bd,5,0
HKE080,8:20:00,8:20:00,mb,6,0
HKE090,9:00:00,9:00:00,kl,1,0
HKE090,9:03:00,9:03:00,ki,2,0
HKE090,9:08:00,9:08:00,ko,3,0
HKE090,9:10:00,9:10:00,ok,4,0
HKE090,9:15:00,9:15:00,bd,5,0
HKE090,9:20:00,9:20:00,mb,6,0
HKE100,10:00:00,10:00:00,kl,1,0
HKE100,10:03:00,10:03:00,ki,2,0
HKE100,10:08:00,10:08:00,ko,3,0
HKE100,10:10:00,10:10:00,ok,4,0
HKE100,10:15:00,10:15:00,bd,5,0
HKE100,10:20:00,10:20:00,mb,6,0
HKE110,11:00:00,11:00:00,kl,1,0
HKE110,11:03:00,11:03:00,ki,2,0
HKE110,11:08:00,11:08:00,ko,3,0
HKE110,11:10:00,11:10:00,ok,4,0
HKE110,11:15:00,11:15:00,bd,5,0
HKE110,11:20:00,11:20:00,mb,6,0
HKE135,13:35:00,13:35:00,kl,1,0
HKE135,13:38:00,13:38:00,ki,2,0
HKE135,13:43:00,13:43:00,ko,3,0
HKE135,13:45:00,13:45:00,ok,4,0
HKE135,13:50:00,13:50:00,bd,5,0
HKE135,13:55:00,13:55:00,mb,6,0
HKE145,14:35:00,14:35:00,kl,1,0
HKE145,14:38:00,14:38:00,ki,2,0
HKE145,14:43:00,14:43:00,ko,3,0
HKE145,14:45:00,14:45:00,ok,4,0
HKE145,14:50:00,14:50:00,bd,5,0
HKE145,14:55:00,14:55:00,mb,6,0
HKE155,15:35:00,15:35:00,kl,1,0
HKE155,15:38:00,15:38:00,ki,2,0
HKE155,15:43:00,15:43:00,ko,3,0
HKE155,15:45:00,15:45:00,ok,4,0
HKE155,15:50:00,15:50:00,bd,5,0
HKE155,15:55:00,15:55:00,mb,6,0
HKE165,16:35:00,16:35:00,kl,1,0
HKE165,16:38:00,16:38:00,ki,2,0
HKE165,16:43:00,16:43:00,ko,3,0
HKE165,16:45:00,16:45:00,ok,4,0
HKE165,16:50:00,16:50:00,bd,5,0
HKE165,16:55:00,16:55:00,mb,6,0
HKE075,7:25:00,7:25:00,mb,1,0
HKE075,7:30:00,7:30:00,ac,2,0
HKE075,7:33:00,7:33:00,hs,3,0
HKE075,7:35:00,7:35:00,uh,4,0
HKE075,7:40:00,7:40:00,cc,5,0
HKE075,7:45:00,7:45:00,pk,6,0
HKE075,7:50:00,7:50:00,mt,7,0
HKE075,7:53:00,7:53:00,bs,8,0
