route_id,service_id,trip_id,direction_id,trip_short_name,trip_headsign,shape_id,block_id
hilo-kaumana,NOSUN,HAK070,0,to Ainako and Kaumana (7:15am - 7:50am),4 KAUMANA,AIDHa,
hilo-kaumana,NOSUN,HAK085,0,to Ainako and Kaumana (8:30am - 9am),4 KAUMANA,AIDHb,
hilo-kaumana,NOSUN,HAK100,0,to Ainako and Kaumana (10:10am - 10:40am),4 KAUMANA,AIDHc,
hilo-kaumana,NOSUN,HAK115,0,to Ainako and Kaumana (11:30am - 12:15pm),4 KAUMANA,AIDHd,
hilo-kaumana,NOSUN,HAK145,0,to Ainako and Kaumana (2:15pm - 2:50pm),4 KAUMANA,AIDHe,
hilo-kaumana,NOSUN,HAK165,0,to Ainako and Kaumana (4:20pm - 5:20pm),4 KAUMANA,AIDHf,
hilo-kaumana,NOSUN,HAK080,1,to Downtown Hilo (7:50am - 8am),7 DOWNTOWN HILO,AIDHg,
hilo-kaumana,NOSUN,HAK090,1,to Downtown Hilo (9am - 9:50am),7 DOWNTOWN HILO,AIDHh,
hilo-kaumana,NOSUN,HAK105,1,to Downtown Hilo (10:40am - 11:40am),7 DOWNTOWN HILO,AIDHi,
hilo-kaumana,NOSUN,HAK120,1,to Downtown Hilo (12:15pm - 12:45pm),7 DOWNTOWN HILO,AIDHj,
hilo-kaumana,NOSUN,HAK130,1,to Downtown Hilo (2:50pm - 3:40pm),7 DOWNTOWN HILO,AIDHh,
hilo-keaukaha,NOSUN,HKE070,0,to Mo'oheau Bus Terminal (7am - 7:20am),,KDHb,
hilo-keaukaha,NOSUN,HKE080,0,to Mo'oheau Bus Terminal (8am - 8:20am),,KDHb,
hilo-keaukaha,NOSUN,HKE090,0,to Mo'oheau Bus Terminal (9am - 9:20am),,KDHb,
hilo-keaukaha,NOSUN,HKE100,0,to Mo'oheau Bus Terminal (10am - 10:20am),,KDHb,
hilo-keaukaha,NOSUN,HKE110,0,to Mo'oheau Bus Terminal (11am - 11:20am),,KDHb,
hilo-keaukaha,NOSUN,HKE135,0,to Mo'oheau Bus Terminal (1:35pm - 1:55pm),,KDHb,
hilo-keaukaha,NOSUN,HKE145,0,to Mo'oheau Bus Terminal (2:35pm - 2:55pm),,KDHb,
hilo-keaukaha,NOSUN,HKE155,0,to Mo'oheau Bus Terminal (3:35pm - 3:55pm),,KDHb,
hilo-keaukaha,NOSUN,HKE165,0,to Mo'oheau Bus Terminal (4:35pm - 4:55pm),,KDHb,
hilo-keaukaha,NOSUN,HKE075,1,to Keaukaha (7:25am - 8am),KEAUKAHA,KDHa,
hilo-keaukaha,NOSUN,HKE085,1,to Keaukaha (8:25am - 9am),KEAUKAHA,KDHa,
hilo-keaukaha,NOSUN,HKE095,1,to Keaukaha (9:25am - 10am),KEAUKAHA,KDHa,
hilo-keaukaha,NOSUN,HKE105,1,to Keaukaha (10:25am - 11am),KEAUKAHA,KDHa,
hilo-keaukaha,NOSUN,HKE130,1,to Keaukaha (1pm - 1:35pm),KEAUKAHA,KDHa,
hilo-keaukaha,NOSUN,HKE140,1,to Keaukaha (2pm - 2:35pm),KEAUKAHA,KDHa,
hilo-keaukaha,NOSUN,HKE150,1,to Keaukaha (3pm - 3:35pm),KEAUKAHA,KDHa,
hilo-keaukaha,NOSUN,HKE160,1,to Keaukaha (4pm - 4:35pm),KEAUKAHA,KDHa,
hilo-waikea,NOSUN,HWK070,0,to Waiakea-Uka (7:05am - 7:50am),6 WAIKEA-UKA,WDHa,
hilo-waikea,NOSUN,HWK095,0,to Waiakea-Uka (9:30am - 10am),6 WAIKEA-UKA,WDHb,
hilo-waikea,NOSUN,HWK110,0,to Waiakea-Uka (10:50am - 11:20am),6 WAIKEA-UKA,WDHb,
hilo-waikea,NOSUN,HWK120,0,to Waiakea-Uka (12:05pm - 12:40pm),6 WAIKEA-UKA,WDHa,
hilo-waikea,NOSUN,HWK155,0,to Waiakea-Uka (3:20pm - 4pm),6 WAIKEA-UKA,WDHa,
hilo-waikea,NOSUN,HWK080,1,to Downtown Hilo (7:50am - 8:25am),7 DOWNTOWN HILO,WDHc,
hilo-waikea,NOSUN,HWK100,1,to Downtown Hilo (10:10am - 10:25am),7 DOWNTOWN HILO,WDHd,
hilo-waikea,NOSUN,HWK115,1,to Downtown Hilo (11:30am - 11:45am),7 DOWNTOWN HILO,WDHd,
hilo-waikea,NOSUN,HWK125,1,to Downtown Hilo (12:40pm - 1:10pm),7 DOWNTOWN HILO,WDHe,
hilo-waikea,NOSUN,HWK160,1,to Downtown Hilo (4pm - 4:45pm),7 DOWNTOWN HILO,WDHc,
hilo-resort,NOHOLIDAY,HWR035,0,to Waikoloa Resorts (3:30am - 5:40am),,,
hilo-resort,NOHOLIDAY,HWR040,0,to Waikoloa Resorts (3:50am - 5:30am),,,
hilo-resort,NOHOLIDAY,HWR045,0,to Waikoloa Resorts (4:30am - 6:40am),,,
hilo-resort,NOHOLIDAY,HWR049,0,to Waikoloa Resorts (4:55am - 6:30am),,,
hilo-resort,NOHOLIDAY,HWR050,0,to Waikoloa Resorts (5:05am - 6:50am),,,
hilo-resort,NOHOLIDAY,HWR053,0,to Waikoloa Resorts (5:15am - 7:05am),,,
hilo-resort,NOHOLIDAY,HWR055,0,to Waikoloa Resorts (5:20am - 7am),,,
hilo-resort,NOHOLIDAY,HWR110,0,to Waikoloa Resorts (11:15am - 1:10pm),,,
hilo-resort,NOHOLIDAY,HWR195,0,to Waikoloa Resorts (7:30pm - 10pm),,,
hilo-resort,NOHOLIDAY,HWR070,1,to Hilo (7:10am - 9:40am),DOWNTOWN HILO,,
hilo-resort,NOHOLIDAY,HWR144,1,to Hilo (2:30pm - 4:05pm),DOWNTOWN HILO,,
hilo-resort,NOHOLIDAY,HWR145,1,to Hilo (2:30pm - 4:20pm),DOWNTOWN HILO,,
hilo-resort,WE,HWR146,1,to Hilo (2:30pm - 4:15pm | Sat - Sun),DOWNTOWN HILO,,
hilo-resort,NOHOLIDAY,HWR155,1,to Hilo (3:30pm - 5:15pm),DOWNTOWN HILO,,
hilo-resort,NOHOLIDAY,HWR160,1,to Hilo (4:05pm - 5:45pm),DOWNTOWN HILO,,
hilo-resort,NOHOLIDAY,HWR161,1,to Hilo (4:10pm - 6:05pm),DOWNTOWN HILO,,
hilo-resort,NOHOLIDAY,HWR162,1,to Hilo (4:10pm - 6:10pm),DOWNTOWN HILO,,
hilo-resort,NOHOLIDAY,HWR163,1,to Hilo (4:20pm - 6:10pm),DOWNTOWN HILO,,
hilo-resort,NOHOLIDAY,HWR165,1,to Hilo (4:20pm - 6:25pm),DOWNTOWN HILO,,
hilo-resort,NOHOLIDAY,HWR210,1,to Hilo (11:10pm - 1:05am),DOWNTOWN HILO,,
hilo-honokaa,FULLW,HHN000,0,to Hilo (12:15am - 1:05am | Daily),,HHa,
hilo-honokaa,NOSUN,HHN059,0,to Hilo (5:50am - 7:25am | Mon - Sat),,HHc,
hilo-honokaa,FULLW,HHN080,0,to Hilo (8:45am - 9:35am | Daily),,HHa,
hilo-honokaa,NOSUN,HHN085,0,to Hilo (8:30am - 10:05am | Mon - Sat),,HHd,
hilo-honokaa,NOSUN,HHN119,0,to Hilo (11:50am - 1:15pm | Mon - Sat),,HHd,
hilo-honokaa,FULLW,HHN152,0,to Hilo (3:15pm - 4:05pm | Daily),,HHa,
hilo-honokaa,WE,HHN153,0,to Hilo (3:20pm - 4:15pm | Sat - Sun),,HHa,
